"Open_Time","Open","High","Low","Close","Volume","Close_Time","Quote","Trades","Takers_Buy_Base","Takers_Buy_Quote","Ignore","Open_Timestamp","Close_Timestamp"
"1551657600000.0","0.1691","0.1935","0.1591","0.1674","1813316.97","1551743999999.0","304068.983448","2146.0","874351.11","146633.665996","0.0","2019-03-04","2019-03-04 23:59:59.999"
"1551744000000.0","0.1675","0.183","0.1666","0.176","3154945.05","1551830399999.0","549031.943702","4439.0","1388135.33","241722.94917","0.0","2019-03-05","2019-03-05 23:59:59.999"
"1551830400000.0","0.1763","0.1778","0.1696","0.1723","1529054.33","1551916799999.0","264298.478669","3003.0","592532.45","102741.728093","0.0","2019-03-06","2019-03-06 23:59:59.999"
"1551916800000.0","0.1727","0.1845","0.1531","0.181","2326293.79","1552003199999.0","404443.267579","3493.0","772786.25","136605.685953","0.0","2019-03-07","2019-03-07 23:59:59.999"
"1552003200000.0","0.181","0.209","0.16","0.1947","9072474.48","1552089599999.0","1760329.858905","9914.0","3858727.89","750059.279947","0.0","2019-03-08","2019-03-08 23:59:59.999"
"1552089600000.0","0.1948","0.2146","0.1903","0.208","6051922.63","1552175999999.0","1212906.065901","8204.0","3180788.13","638566.856565","0.0","2019-03-09","2019-03-09 23:59:59.999"
"1552176000000.0","0.2074","0.2137","0.1951","0.1956","2725744.77","1552262399999.0","555533.789024","4683.0","1157454.32","236036.421512","0.0","2019-03-10","2019-03-10 23:59:59.999"
"1552262400000.0","0.1955","0.2","0.187","0.1925","2091272.33","1552348799999.0","402636.96889","3697.0","978055.38","188753.832129","0.0","2019-03-11","2019-03-11 23:59:59.999"
"1552348800000.0","0.1915","0.1979","0.1829","0.1924","1722904.78","1552435199999.0","330617.561709","2436.0","741838.88","142022.527471","0.0","2019-03-12","2019-03-12 23:59:59.999"
"1552435200000.0","0.1924","0.2","0.1875","0.1885","1602148.91","1552521599999.0","307054.830852","2443.0","678719.13","130671.48809","0.0","2019-03-13","2019-03-13 23:59:59.999"
"1552521600000.0","0.1885","0.202","0.1836","0.1925","2629110.96","1552607999999.0","503879.108712","3757.0","1113415.81","214657.677884","0.0","2019-03-14","2019-03-14 23:59:59.999"
"1552608000000.0","0.1927","0.199","0.1917","0.1956","1325108.08","1552694399999.0","259398.160742","2094.0","679186.56","133107.758618","0.0","2019-03-15","2019-03-15 23:59:59.999"
"1552694400000.0","0.1956","0.1993","0.1945","0.1966","753433.59","1552780799999.0","148510.611592","1536.0","384054.71","75820.496554","0.0","2019-03-16","2019-03-16 23:59:59.999"
"1552780800000.0","0.1966","0.1978","0.1914","0.1931","1027520.27","1552867199999.0","199616.847522","1363.0","324686.16","62958.980471","0.0","2019-03-17","2019-03-17 23:59:59.999"
