Wavelength(nm),Transmission(%)
1200,83.83
1199,83.78
1198,83.73
1197,83.69
1196,83.67
1195,83.62
1194,83.55
1193,83.52
1192,83.47
1191,83.44
1190,83.4
1189,83.33
1188,83.3
1187,83.24
1186,83.19
1185,83.16
1184,83.15
1183,83.09
1182,83.02
1181,83.01
1180,82.98
1179,82.96
1178,82.9
1177,82.9
1176,82.88
1175,82.81
1174,82.79
1173,82.78
1172,82.73
1171,82.64
1170,82.57
1169,82.58
1168,82.58
1167,82.57
1166,82.57
1165,82.47
1164,82.36
1163,82.34
1162,82.34
1161,82.33
1160,82.32
1159,82.23
1158,82.15
1157,82.11
1156,82.1
1155,82.1
1154,82.08
1153,82.07
1152,81.99
1151,81.9
1150,81.9
1149,81.91
1148,81.91
1147,81.88
1146,81.81
1145,81.73
1144,81.66
1143,81.67
1142,81.67
1141,81.67
1140,81.63
1139,81.59
1138,81.53
1137,81.48
1136,81.56
1135,81.58
1134,81.44
1133,81.4
1132,81.38
1131,81.31
1130,81.31
1129,81.32
1128,81.24
1127,81.17
1126,81.11
1125,81.04
1124,81.08
1123,81.13
1122,81.1
1121,81.02
1120,81.01
1119,80.99
1118,80.93
1117,80.93
1116,80.92
1115,80.89
1114,80.85
1113,80.83
1112,80.84
1111,80.83
1110,80.83
1109,80.79
1108,80.76
1107,80.73
1106,80.7
1105,80.67
1104,80.63
1103,80.64
1102,80.67
1101,80.64
1100,80.6
1099,80.58
1098,80.59
1097,80.58
1096,80.6
1095,80.6
1094,80.52
1093,80.53
1092,80.52
1091,80.49
1090,80.52
1089,80.52
1088,80.48
1087,80.45
1086,80.49
1085,80.5
1084,80.44
1083,80.43
1082,80.44
1081,80.41
1080,80.38
1079,80.41
1078,80.39
1077,80.38
1076,80.38
1075,80.36
1074,80.4
1073,80.4
1072,80.38
1071,80.37
1070,80.35
1069,80.32
1068,80.32
1067,80.33
1066,80.32
1065,80.31
1064,80.33
1063,80.33
1062,80.39
1061,80.41
1060,80.35
1059,80.32
1058,80.3
1057,80.26
1056,80.28
1055,80.3
1054,80.33
1053,80.33
1052,80.32
1051,80.3
1050,80.31
1049,80.33
1048,80.34
1047,80.36
1046,80.35
1045,80.32
1044,80.31
1043,80.3
1042,80.34
1041,80.36
1040,80.37
1039,80.38
1038,80.37
1037,80.39
1036,80.42
1035,80.46
1034,80.45
1033,80.42
1032,80.4
1031,80.42
1030,80.46
1029,80.51
1028,80.56
1027,80.55
1026,80.53
1025,80.56
1024,80.57
1023,80.62
1022,80.65
1021,80.65
1020,80.63
1019,80.63
1018,80.65
1017,80.71
1016,80.8
1015,80.8
1014,80.79
1013,80.79
1012,80.8
1011,80.88
1010,80.94
1009,80.98
1008,80.98
1007,80.95
1006,80.99
1005,81
1004,81.07
1003,81.12
1002,81.13
1001,81.14
1000,81.13
999,81.17
998,81.25
997,81.31
996,81.31
995,81.32
994,81.34
993,81.37
992,81.47
991,81.55
990,81.55
989,81.54
988,81.56
987,81.62
986,81.66
985,81.73
984,81.79
983,81.8
982,81.81
981,81.83
980,81.91
979,82.01
978,82.08
977,82.06
976,82.06
975,82.08
974,82.14
973,82.25
972,82.31
971,82.34
970,82.37
969,82.37
968,82.4
967,82.5
966,82.63
965,82.66
964,82.65
963,82.67
962,82.7
961,82.79
960,82.9
959,82.97
958,83
957,82.99
956,82.99
955,83.06
954,83.21
953,83.35
952,83.4
951,83.33
950,83.33
949,83.42
948,83.52
947,83.68
946,83.73
945,83.72
944,83.71
943,83.75
942,83.88
941,84.01
940,84.09
939,84.16
938,84.2
937,84.24
936,84.33
935,84.54
934,84.67
933,84.69
932,84.67
931,84.68
930,84.84
929,84.91
928,85.01
927,85.12
926,85.16
925,85.14
924,85.19
923,85.34
922,85.48
921,85.55
920,85.59
919,85.62
918,85.75
917,85.89
916,86.03
915,86.23
914,86.24
913,86.22
912,86.25
911,86.28
910,86.39
909,86.63
908,86.8
907,86.79
906,86.73
905,86.71
904,86.86
903,87.1
902,87.24
901,87.35
900,87.41
899,87.37
898,87.46
897,87.59
896,87.62
895,87.67
894,87.71
893,87.88
892,88.11
891,88.22
890,88.25
889,88.15
888,88.14
887,88.34
886,88.46
885,88.71
884,88.8
883,88.77
882,88.85
881,88.87
880,88.98
879,89.19
878,89.31
877,89.34
876,89.41
875,89.32
874,89.34
873,89.57
872,89.8
871,89.85
870,89.81
869,89.9
868,89.94
867,89.98
866,90.1
865,90.22
864,90.25
863,90.36
862,90.41
861,90.55
860,90.83
859,90.87
858,90.77
857,90.72
856,90.97
855,91.03
854,91.08
853,91.18
852,91.23
851,91.2
850,91.21
849,91.37
848,91.38
847,91.51
846,91.57
845,91.75
844,91.85
843,91.86
842,91.93
841,92.05
840,92.09
839,92.05
838,92.08
837,92.14
836,92.29
835,92.26
834,92.37
833,92.4
832,92.43
831,92.48
830,92.56
829,92.61
828,92.66
827,92.68
826,92.69
825,92.84
824,92.86
823,92.95
822,92.94
821,93.04
820,93.03
819,93
818,93.16
817,93.08
816,93.1
815,93.09
814,93.14
813,93.23
812,93.34
811,93.37
810,93.25
809,93.23
808,93.21
807,93.36
806,93.36
805,93.44
804,93.46
803,93.35
802,93.19
801,93.25
800,93.32
799,93.26
798,93.35
797,93.31
796,93.2
795,93.23
794,93.18
793,93.06
792,93.2
791,93.14
790,93.08
789,93.03
788,93.06
787,93.03
786,93.01
785,93.07
784,92.98
783,92.95
782,92.8
781,92.77
780,92.8
779,92.75
778,92.63
777,92.51
776,92.43
775,92.39
774,92.33
773,92.24
772,92.29
771,92.19
770,92.15
769,92.02
768,91.99
767,92.02
766,91.94
765,91.88
764,91.7
763,91.63
762,91.54
761,91.49
760,91.33
759,91.18
758,91.05
757,90.99
756,90.9
755,90.81
754,90.75
753,90.59
752,90.46
751,90.35
750,90.26
749,90.13
748,90.12
747,90
746,89.87
745,89.68
744,89.56
743,89.48
742,89.39
741,89.3
740,89.09
739,88.94
738,88.79
737,88.71
736,88.55
735,88.45
734,88.29
733,88.16
732,88.05
731,87.86
730,87.8
729,87.65
728,87.57
727,87.38
726,87.2
725,87.02
724,86.85
723,86.76
722,86.67
721,86.54
720,86.3
719,86.19
718,86.02
717,85.95
716,85.83
715,85.69
714,85.56
713,85.39
712,85.27
711,85.07
710,84.96
709,84.85
708,84.76
707,84.54
706,84.4
705,84.25
704,84.06
703,83.95
702,83.86
701,83.81
700,83.61
699,83.46
698,83.31
697,83.19
696,83.03
695,82.94
694,82.79
693,82.64
692,82.5
691,82.37
690,82.28
689,82.15
688,82.03
687,81.89
686,81.78
685,81.57
684,81.53
683,81.45
682,81.32
681,81.25
680,81.1
679,81.02
678,80.87
677,80.79
676,80.69
675,80.62
674,80.51
673,80.39
672,80.28
671,80.15
670,80.13
669,80.04
668,80.03
667,79.91
666,79.81
665,79.75
664,79.65
663,79.61
662,79.52
661,79.52
660,79.43
659,79.37
658,79.3
657,79.29
656,79.26
655,79.24
654,79.18
653,79.1
652,79.06
651,78.98
650,79.02
649,79.01
648,79.06
647,79
646,78.97
645,78.92
644,78.94
643,78.97
642,78.99
641,79.03
640,78.99
639,79.03
638,78.99
637,79.07
636,79.08
635,79.13
634,79.21
633,79.22
632,79.27
631,79.28
630,79.36
629,79.39
628,79.46
627,79.48
626,79.55
625,79.64
624,79.68
623,79.82
622,79.87
621,80
620,80.07
619,80.19
618,80.27
617,80.37
616,80.54
615,80.65
614,80.8
613,80.86
612,80.99
