Baseline 100%T,,Linea Base (200nm-2500nm),,Germanio N3 (200nm-2500nm),,Germanio N4 (200nm-2500nm),,Germanio N2 (200nm-2500nm),,Germanio N1 (200nm-2500nm),,Germanio N5 (200nm-2500nm),,Germanio N6 (200nm-2500nm),,Germanio N7 (200nm-2500nm),,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2500,58.53235245,2500,99.59889984,2500,29.37264824,2500,41.64908981,2500,25.65687561,2500,24.41091919,2500,40.98572922,2500,45.40185165,2500,26.99082756,
2499,58.27678299,2499,100.2665024,2499,29.79558945,2499,41.93650818,2499,26.1248436,2499,24.73825455,2499,41.06071854,2499,45.65385818,2499,27.18460846,
2498,58.49433517,2498,99.86078644,2498,29.37635803,2498,41.45727539,2498,26.12449455,2498,24.71591187,2498,40.8125267,2498,45.49957657,2498,26.8938179,
2497,58.37628174,2497,100.2129517,2497,28.99753189,2497,41.49261856,2497,26.05196571,2497,24.94242668,2497,41.36175919,2497,45.50801086,2497,27.07098198,
2496,58.37551498,2496,99.8060379,2496,28.80750084,2496,41.34966278,2496,26.24220848,2496,24.896101,2496,41.15815735,2496,45.23081207,2496,26.8679409,
2495,58.47249603,2495,99.57932281,2495,28.8115406,2495,41.0455246,2495,26.296175,2495,25.02595139,2495,41.534935,2495,45.57801056,2495,26.75704002,
2494,58.32636261,2494,100.0081863,2494,28.84550667,2494,41.17586899,2494,26.73160744,2494,25.41950989,2494,41.489048,2494,45.62074661,2494,26.95891571,
2493,58.40085602,2493,99.70494843,2493,28.60924911,2493,40.70994186,2493,26.56097794,2493,25.37750244,2493,41.61257935,2493,45.4622879,2493,26.90403366,
2492,58.26517487,2492,100.1670837,2492,28.41096306,2492,40.8635788,2492,26.99355507,2492,25.5515995,2492,41.65081787,2492,45.37134933,2492,26.87729263,
2491,58.18803406,2491,100.2983093,2491,28.57681847,2491,40.59949493,2491,26.95911789,2491,25.77153969,2491,41.9242363,2491,45.5969696,2491,26.93932915,
2490,58.15322495,2490,100.0628586,2490,28.40413475,2490,40.42670059,2490,26.89632225,2490,26.13477707,2490,41.91836166,2490,45.70059586,2490,27.04865265,
2489,58.28479385,2489,99.86483002,2489,28.23783493,2489,40.17566299,2489,27.0645504,2489,26.05424309,2489,41.81013489,2489,45.24298477,2489,26.76626205,
2488,58.22975159,2488,99.71034241,2488,28.00559044,2488,39.98751831,2488,27.17948341,2488,26.34722328,2488,42.0062294,2488,45.43601227,2488,26.8057518,
2487,58.07801056,2487,100.2152786,2487,28.05609322,2487,40.11871338,2487,27.50576973,2487,26.73459625,2487,42.22933578,2487,45.41916656,2487,26.80044174,
2486,58.11600494,2486,100.1778946,2486,27.9035511,2486,39.98905182,2486,27.4158535,2486,26.69487572,2486,42.46946716,2486,45.33675766,2486,26.70534325,
2485,58.12426376,2485,100.0202866,2485,27.86091232,2485,39.59176254,2485,27.41325188,2485,27.08746147,2485,42.30414963,2485,45.30787277,2485,26.6708107,
2484,58.08410645,2484,99.85839844,2484,27.60079193,2484,39.54310226,2484,27.59737015,2484,27.23987961,2484,42.52955246,2484,45.36338806,2484,26.66850471,
2483,57.97554779,2483,100.2054062,2483,27.51730156,2483,39.47701645,2483,27.77176476,2483,27.29780388,2483,42.66013718,2483,45.35260391,2483,26.96878242,
2482,57.96749496,2482,99.94905853,2482,27.58383751,2482,39.38505173,2482,27.87961388,2482,27.70271683,2482,42.70409775,2482,45.22005081,2482,26.82426262,
2481,57.86227036,2481,100.0862274,2481,27.28009796,2481,39.05373764,2481,28.3238678,2481,28.00398254,2481,42.91849136,2481,45.35331726,2481,26.98271179,
2480,57.92473984,2480,100.0282745,2480,27.24926758,2480,39.17889404,2480,28.10977936,2480,28.07457352,2480,42.97457504,2480,45.25561523,2480,26.69050407,
2479,57.79976654,2479,100.2975693,2479,27.41458511,2479,39.00621796,2479,28.4849472,2479,28.34769249,2479,43.15937424,2479,45.39606094,2479,26.84051704,
2478,57.8843956,2478,99.80399323,2478,27.06882858,2478,38.77735901,2478,28.68750763,2478,28.41792107,2478,43.20072174,2478,45.2477951,2478,26.68470383,
2477,57.83700943,2477,99.9467926,2477,26.90832329,2477,38.61368561,2477,28.66087532,2477,28.88072968,2477,43.31647873,2477,44.89816284,2477,26.95222473,
2476,57.81264496,2476,99.90924072,2476,27.01333237,2476,38.54208374,2476,28.80437469,2476,28.92163658,2476,43.61341858,2476,45.33765793,2476,27.05398178,
2475,57.73203278,2475,100.1372681,2475,26.808918,2475,38.34374237,2475,29.19024849,2475,29.39406013,2475,43.53063202,2475,45.14591599,2475,26.92751503,
2474,57.8480835,2474,99.70365906,2474,26.84730339,2474,38.01013947,2474,29.08807182,2474,29.55806923,2474,43.54696274,2474,45.278759,2474,26.70796204,
2473,57.72520447,2473,99.95184326,2473,26.68622208,2473,38.10448456,2473,29.42313194,2473,29.91562271,2473,43.94203186,2473,45.31354904,2473,26.99215317,
