Transmission at 0.00 degrees for unpolarized light
wavelength(nm) T
720.000000 4.948220e-03
721.000000 5.075700e-03
722.000000 5.204132e-03
723.000000 5.333790e-03
724.000000 5.464978e-03
725.000000 5.598033e-03
726.000000 5.733327e-03
727.000000 5.871268e-03
728.000000 6.012302e-03
729.000000 6.156919e-03
730.000000 6.304925e-03
731.000000 6.454443e-03
732.000000 6.605229e-03
733.000000 6.757161e-03
734.000000 6.910121e-03
735.000000 7.063990e-03
736.000000 7.218656e-03
737.000000 7.374009e-03
738.000000 7.529948e-03
739.000000 7.686377e-03
740.000000 7.843209e-03
741.000000 8.000368e-03
742.000000 8.157787e-03
743.000000 8.315409e-03
744.000000 8.473190e-03
745.000000 8.631100e-03
746.000000 8.789119e-03
747.000000 8.947243e-03
748.000000 9.105480e-03
749.000000 9.263851e-03
750.000000 9.422393e-03
751.000000 9.581156e-03
752.000000 9.740200e-03
753.000000 9.899602e-03
754.000000 0.010059
755.000000 0.010220
756.000000 0.010381
757.000000 0.010542
758.000000 0.010703
759.000000 0.010863
760.000000 0.011024
761.000000 0.011186
762.000000 0.011348
763.000000 0.011512
764.000000 0.011678
765.000000 0.011846
766.000000 0.012016
767.000000 0.012189
768.000000 0.012366
769.000000 0.012547
770.000000 0.012731
771.000000 0.012921
772.000000 0.013115
773.000000 0.013315
774.000000 0.013521
775.000000 0.013733
776.000000 0.013951
777.000000 0.014175
778.000000 0.014404
779.000000 0.014638
780.000000 0.014878
781.000000 0.015123
782.000000 0.015374
783.000000 0.015629
784.000000 0.015890
785.000000 0.016155
786.000000 0.016425
787.000000 0.016699
788.000000 0.016977
789.000000 0.017258
790.000000 0.017543
791.000000 0.017830
792.000000 0.018120
793.000000 0.018412
794.000000 0.018706
795.000000 0.019001
796.000000 0.019296
797.000000 0.019592
798.000000 0.019887
799.000000 0.020182
800.000000 0.020475
801.000000 0.020768
802.000000 0.021058
803.000000 0.021346
804.000000 0.021631
805.000000 0.021913
806.000000 0.022190
807.000000 0.022459
808.000000 0.022720
809.000000 0.022974
810.000000 0.023221
811.000000 0.023463
812.000000 0.023700
813.000000 0.023934
814.000000 0.024165
815.000000 0.024394
816.000000 0.024623
817.000000 0.024852
818.000000 0.025082
819.000000 0.025314
820.000000 0.025551
821.000000 0.025792
822.000000 0.026039
823.000000 0.026294
824.000000 0.026557
825.000000 0.026829
826.000000 0.027114
827.000000 0.027411
