Transmission at 0.00 degrees for unpolarized light
wavelength(nm) T
720.000000 0.932785
721.000000 0.932792
722.000000 0.932799
723.000000 0.932807
724.000000 0.932814
725.000000 0.932821
726.000000 0.932828
727.000000 0.932835
728.000000 0.932842
729.000000 0.932849
730.000000 0.932856
731.000000 0.932863
732.000000 0.932870
733.000000 0.932877
734.000000 0.932883
735.000000 0.932890
736.000000 0.932897
737.000000 0.932904
738.000000 0.932911
739.000000 0.932917
740.000000 0.932924
741.000000 0.932931
742.000000 0.932937
743.000000 0.932944
744.000000 0.932951
745.000000 0.932957
746.000000 0.932964
747.000000 0.932970
748.000000 0.932977
749.000000 0.932983
750.000000 0.932990
751.000000 0.932996
752.000000 0.933003
753.000000 0.933009
754.000000 0.933015
755.000000 0.933022
756.000000 0.933028
757.000000 0.933034
758.000000 0.933040
759.000000 0.933047
760.000000 0.933053
761.000000 0.933059
762.000000 0.933065
763.000000 0.933071
764.000000 0.933078
765.000000 0.933084
766.000000 0.933090
767.000000 0.933096
768.000000 0.933102
769.000000 0.933108
770.000000 0.933114
771.000000 0.933120
772.000000 0.933126
773.000000 0.933132
774.000000 0.933138
775.000000 0.933143
776.000000 0.933149
777.000000 0.933155
778.000000 0.933161
779.000000 0.933167
780.000000 0.933172
781.000000 0.933178
782.000000 0.933184
783.000000 0.933190
784.000000 0.933195
785.000000 0.933201
786.000000 0.933207
787.000000 0.933212
788.000000 0.933218
789.000000 0.933224
790.000000 0.933229
791.000000 0.933235
792.000000 0.933240
793.000000 0.933246
794.000000 0.933251
795.000000 0.933257
796.000000 0.933262
797.000000 0.933268
798.000000 0.933273
799.000000 0.933278
800.000000 0.933284
801.000000 0.933289
802.000000 0.933294
803.000000 0.933300
804.000000 0.933305
805.000000 0.933310
806.000000 0.933316
807.000000 0.933321
808.000000 0.933326
809.000000 0.933331
810.000000 0.933336
811.000000 0.933342
812.000000 0.933347
813.000000 0.933352
814.000000 0.933357
815.000000 0.933362
816.000000 0.933367
817.000000 0.933372
818.000000 0.933377
819.000000 0.933382
820.000000 0.933387
821.000000 0.933392
822.000000 0.933397
823.000000 0.933402
