Wavelength(nm),Transmission(%)
720.0,0.00494822
721.0,0.0050757
722.0,0.005204132
723.0,0.00533379
724.0,0.005464978
725.0,0.005598033
726.0,0.005733327
727.0,0.005871268
728.0,0.006012302
729.0,0.006156919
730.0,0.006304925
731.0,0.006454443
732.0,0.006605229
733.0,0.006757161
734.0,0.006910121
735.0,0.00706399
736.0,0.007218656
737.0,0.007374009
738.0,0.007529948
739.0,0.007686377
740.0,0.007843209
741.0,0.008000368
742.0,0.008157787
743.0,0.008315409
744.0,0.00847319
745.0,0.0086311
746.0,0.008789119
747.0,0.008947243
748.0,0.00910548
749.0,0.009263851
750.0,0.009422393
751.0,0.009581156
752.0,0.0097402
753.0,0.009899602
754.0,0.010059
755.0,0.01022
756.0,0.010381
757.0,0.010542
758.0,0.010703
759.0,0.010863
760.0,0.011024
761.0,0.011186
762.0,0.011348
763.0,0.011512
764.0,0.011678
765.0,0.011846
766.0,0.012016
767.0,0.012189
768.0,0.012366
769.0,0.012547
770.0,0.012731
771.0,0.012921
772.0,0.013115
773.0,0.013315
774.0,0.013521
775.0,0.013733
776.0,0.013951
777.0,0.014175
778.0,0.014404
779.0,0.014638
780.0,0.014878
781.0,0.015123
782.0,0.015374
783.0,0.015629
784.0,0.01589
785.0,0.016155
786.0,0.016425
787.0,0.016699
788.0,0.016977
789.0,0.017258
790.0,0.017543
791.0,0.01783
792.0,0.01812
793.0,0.018412
794.0,0.018706
795.0,0.019001
796.0,0.019296
797.0,0.019592
798.0,0.019887
799.0,0.020182
800.0,0.020475
801.0,0.020768
802.0,0.021058
803.0,0.021346
804.0,0.021631
805.0,0.021913
806.0,0.02219
807.0,0.022459
808.0,0.02272
809.0,0.022974
810.0,0.023221
811.0,0.023463
812.0,0.0237
813.0,0.023934
814.0,0.024165
815.0,0.024394
816.0,0.024623
817.0,0.024852
818.0,0.025082
819.0,0.025314
820.0,0.025551
821.0,0.025792
822.0,0.026039
823.0,0.026294
824.0,0.026557
825.0,0.026829
826.0,0.027114
827.0,0.027411
828.0,0.027726
829.0,0.028061
830.0,0.028416
831.0,0.028789
832.0,0.029183
833.0,0.029596
834.0,0.030029
835.0,0.030483
836.0,0.030956
837.0,0.03145
838.0,0.031965
839.0,0.032501
840.0,0.033059
841.0,0.033639
842.0,0.034241
843.0,0.034866
844.0,0.035514
845.0,0.036186
846.0,0.036883
847.0,0.037604
848.0,0.038351
849.0,0.039124
850.0,0.039924
851.0,0.040751
852.0,0.041606
853.0,0.04249
854.0,0.043404
855.0,0.044348
856.0,0.045322
857.0,0.046328
858.0,0.047366
859.0,0.048437
860.0,0.049542
861.0,0.05068
862.0,0.051852
863.0,0.053059
864.0,0.054301
865.0,0.055578
866.0,0.05689
867.0,0.058237
868.0,0.059619
869.0,0.061035
870.0,0.062484
871.0,0.063966
872.0,0.065478
873.0,0.06702
874.0,0.06859
875.0,0.070184
876.0,0.071801
877.0,0.073437
878.0,0.075089
879.0,0.076752
880.0,0.078422
881.0,0.080093
882.0,0.081761
883.0,0.083418
884.0,0.085058
885.0,0.086674
886.0,0.088261
887.0,0.089833
888.0,0.091394
889.0,0.092939
890.0,0.094466
891.0,0.09597
892.0,0.097448
893.0,0.098896
894.0,0.10031
895.0,0.101687
896.0,0.103024
897.0,0.104315
898.0,0.105558
899.0,0.10675
900.0,0.107888
901.0,0.108968
902.0,0.109989
903.0,0.110947
904.0,0.111841
905.0,0.112669
906.0,0.113429
907.0,0.114122
908.0,0.114745
909.0,0.115299
910.0,0.115785
911.0,0.116201
912.0,0.11655
913.0,0.116833
914.0,0.11705
915.0,0.117205
916.0,0.117298
917.0,0.117332
918.0,0.117311
919.0,0.117235
920.0,0.11711
921.0,0.116937
922.0,0.116719
923.0,0.116461
924.0,0.116165
925.0,0.115835
926.0,0.115474
927.0,0.115085
928.0,0.114672
929.0,0.114239
930.0,0.113788
931.0,0.113322
932.0,0.112845
933.0,0.11236
934.0,0.11187
935.0,0.111377
936.0,0.110884
937.0,0.110393
938.0,0.109908
939.0,0.10943
940.0,0.108962
941.0,0.108506
