Wavelength(nm),Transmission(%)
720.0,0.932785
721.0,0.932792
722.0,0.932799
723.0,0.932807
724.0,0.932814
725.0,0.932821
726.0,0.932828
727.0,0.932835
728.0,0.932842
729.0,0.932849
730.0,0.932856
731.0,0.932863
732.0,0.93287
733.0,0.932877
734.0,0.932883
735.0,0.93289
736.0,0.932897
737.0,0.932904
738.0,0.932911
739.0,0.932917
740.0,0.932924
741.0,0.932931
742.0,0.932937
743.0,0.932944
744.0,0.932951
745.0,0.932957
746.0,0.932964
747.0,0.93297
748.0,0.932977
749.0,0.932983
750.0,0.93299
751.0,0.932996
752.0,0.933003
753.0,0.933009
754.0,0.933015
755.0,0.933022
756.0,0.933028
757.0,0.933034
758.0,0.93304
759.0,0.933047
760.0,0.933053
761.0,0.933059
762.0,0.933065
763.0,0.933071
764.0,0.933078
765.0,0.933084
766.0,0.93309
767.0,0.933096
768.0,0.933102
769.0,0.933108
770.0,0.933114
771.0,0.93312
772.0,0.933126
773.0,0.933132
774.0,0.933138
775.0,0.933143
776.0,0.933149
777.0,0.933155
778.0,0.933161
779.0,0.933167
780.0,0.933172
781.0,0.933178
782.0,0.933184
783.0,0.93319
784.0,0.933195
785.0,0.933201
786.0,0.933207
787.0,0.933212
788.0,0.933218
789.0,0.933224
790.0,0.933229
791.0,0.933235
792.0,0.93324
793.0,0.933246
794.0,0.933251
795.0,0.933257
796.0,0.933262
797.0,0.933268
798.0,0.933273
799.0,0.933278
800.0,0.933284
801.0,0.933289
802.0,0.933294
803.0,0.9333
804.0,0.933305
805.0,0.93331
806.0,0.933316
807.0,0.933321
808.0,0.933326
809.0,0.933331
810.0,0.933336
811.0,0.933342
812.0,0.933347
813.0,0.933352
814.0,0.933357
815.0,0.933362
816.0,0.933367
817.0,0.933372
818.0,0.933377
819.0,0.933382
820.0,0.933387
821.0,0.933392
822.0,0.933397
823.0,0.933402
824.0,0.933407
825.0,0.933412
826.0,0.933417
827.0,0.933422
828.0,0.933427
829.0,0.933431
830.0,0.933436
831.0,0.933441
832.0,0.933446
833.0,0.933451
834.0,0.933455
835.0,0.93346
836.0,0.933465
837.0,0.93347
838.0,0.933474
839.0,0.933479
840.0,0.933484
841.0,0.933488
842.0,0.933493
843.0,0.933498
844.0,0.933502
845.0,0.933507
846.0,0.933511
847.0,0.933516
848.0,0.933521
849.0,0.933525
850.0,0.93353
851.0,0.933534
852.0,0.933539
853.0,0.933543
854.0,0.933548
855.0,0.933552
856.0,0.933556
857.0,0.933561
858.0,0.933565
859.0,0.93357
860.0,0.933574
861.0,0.933578
862.0,0.933583
863.0,0.933587
864.0,0.933591
865.0,0.933596
866.0,0.9336
867.0,0.933604
868.0,0.933608
869.0,0.933613
870.0,0.933617
871.0,0.933621
872.0,0.933625
873.0,0.933629
874.0,0.933634
875.0,0.933638
876.0,0.933642
877.0,0.933646
878.0,0.93365
879.0,0.933654
880.0,0.933658
881.0,0.933662
882.0,0.933666
883.0,0.93367
884.0,0.933675
885.0,0.933679
886.0,0.933683
887.0,0.933687
888.0,0.933691
889.0,0.933695
890.0,0.933698
891.0,0.933702
892.0,0.933706
893.0,0.93371
894.0,0.933714
895.0,0.933718
896.0,0.933722
897.0,0.933726
898.0,0.93373
899.0,0.933733
900.0,0.933737
901.0,0.933741
902.0,0.933745
903.0,0.933749
904.0,0.933753
905.0,0.933756
906.0,0.93376
907.0,0.933764
908.0,0.933768
909.0,0.933771
910.0,0.933775
911.0,0.933779
912.0,0.933782
913.0,0.933786
914.0,0.93379
915.0,0.933793
916.0,0.933797
917.0,0.933801
918.0,0.933804
919.0,0.933808
920.0,0.933811
921.0,0.933815
922.0,0.933819
923.0,0.933822
924.0,0.933826
925.0,0.933829
926.0,0.933833
927.0,0.933836
928.0,0.93384
929.0,0.933843
930.0,0.933847
931.0,0.93385
932.0,0.933854
933.0,0.933857
934.0,0.933861
935.0,0.933864
936.0,0.933867
937.0,0.933871
938.0,0.933874
939.0,0.933878
940.0,0.933881
941.0,0.933884
942.0,0.933888
943.0,0.933891
944.0,0.933894
945.0,0.933898
946.0,0.933901
947.0,0.933904
948.0,0.933908
949.0,0.933911
950.0,0.933914
951.0,0.933918
952.0,0.933921
953.0,0.933924
954.0,0.933927
955.0,0.93393
956.0,0.933934
957.0,0.933937
958.0,0.93394
959.0,0.933943
960.0,0.933946
961.0,0.93395
962.0,0.933953
963.0,0.933956
964.0,0.933959
965.0,0.933962
966.0,0.933965
967.0,0.933968
968.0,0.933972
