Baseline 100%T,,Linea Base (200nm-2500nm),,Sustrato Portamuestra,,Sustrato Portamuestra1,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
2500,58.3345871,2500,100.2159576,2500,100.3946457,2500,90.09825897,
2499,58.42938232,2499,100.1460648,2499,100.1343613,2499,90.05378723,
2498,58.47032166,2498,99.97989655,2498,100.0036697,2498,90.21246338,
2497,58.50336075,2497,99.86127472,2497,99.81121063,2497,89.84558868,
2496,58.41358948,2496,100.1334305,2496,99.79095459,2496,90.17008972,
2495,58.30921936,2495,100.1380081,2495,100.2530365,2495,90.37787628,
2494,58.30800629,2494,99.89922333,2494,100.062355,2494,90.11299133,
2493,58.24860382,2493,100.1246567,2493,99.98701477,2493,90.17594147,
2492,58.25093842,2492,99.92359161,2492,100.048317,2492,90.2594986,
2491,58.25987625,2491,99.76109314,2491,99.87083435,2491,90.140625,
2490,58.04317474,2490,100.3152847,2490,100.1165619,2490,90.41059875,
2489,58.21298218,2489,100.0205078,2489,100.0301743,2489,90.06422424,
2488,58.15787888,2488,100.073204,2488,100.1154633,2488,90.16880798,
2487,58.14053345,2487,99.76993561,2487,100.0365982,2487,90.09433746,
2486,58.29589844,2486,99.65628052,2486,99.5124054,2486,89.82830811,
2485,58.08633423,2485,100.0336304,2485,99.89138031,2485,90.28030396,
2484,58.08703995,2484,99.82183838,2484,99.87172699,2484,90.14272308,
2483,57.94116974,2483,99.94757843,2483,99.99464417,2483,90.33966827,
2482,57.90161514,2482,100.1313171,2482,100.0153427,2482,90.32186127,
2481,57.87937164,2481,100.0932846,2481,100.2204437,2481,90.21880341,
2480,57.83713913,2480,99.83066559,2480,99.94711304,2480,90.34647369,
2479,57.92530823,2479,99.91442871,2479,99.97594452,2479,89.97245026,
2478,57.78302383,2478,99.82408142,2478,99.92913818,2478,90.35371399,
2477,57.78013611,2477,99.89246368,2477,99.95903015,2477,90.26302338,
2476,57.74082565,2476,100.0586243,2476,100.0811615,2476,90.39570618,
2475,57.69028473,2475,100.0752563,2475,99.96603394,2475,90.54917908,
2474,57.73913956,2474,99.95755005,2474,100.0276413,2474,90.22229767,
2473,57.65503693,2473,100.0770721,2473,99.96008301,2473,90.24708557,
2472,57.71676254,2472,99.86065674,2472,99.84941101,2472,90.08509064,
2471,57.66363907,2471,100.0847702,2471,99.93695831,2471,90.23564148,
2470,57.64284897,2470,99.89161682,2470,99.8242569,2470,90.19890594,
2469,57.63039398,2469,99.95875549,2469,99.8595047,2469,90.26898956,
2468,57.59620667,2468,99.84719086,2468,100.0340118,2468,90.34172058,
2467,57.55419159,2467,99.97369385,2467,100.0434265,2467,90.3710556,
2466,57.50246048,2466,100.0254059,2466,100.095192,2466,90.41603851,
2465,57.5790596,2465,99.8738327,2465,100.0566635,2465,90.25785065,
2464,57.5294075,2464,99.85967255,2464,100.0692825,2464,90.17675018,
2463,57.55909729,2463,99.92185974,2463,99.92572021,2463,90.18029785,
2462,57.53546906,2462,99.94126129,2462,99.92004395,2462,90.48842621,
2461,57.47365952,2461,99.81613922,2461,100.0370941,2461,90.35108185,
2460,57.41515732,2460,100.082016,2460,100.0426331,2460,90.40435028,
2459,57.3696022,2459,100.044693,2459,99.97418213,2459,90.28171539,
2458,57.3848114,2458,99.95904541,2458,99.99932861,2458,90.22728729,
2457,57.44499588,2457,99.74554443,2457,99.82152557,2457,90.18493652,
2456,57.30609131,2456,99.91077423,2456,100.0312576,2456,90.37987518,
2455,57.30178833,2455,100.0235901,2455,100.0499039,2455,90.33325958,
2454,57.19828796,2454,100.0925064,2454,100.207428,2454,90.57370758,
2453,57.29406357,2453,99.95278931,2453,99.95625305,2453,90.35562134,
2452,57.2349968,2452,99.94882202,2452,100.0857391,2452,90.31941986,
2451,57.25980377,2451,99.94083405,2451,99.90409851,2451,90.43254852,
2450,57.18497086,2450,99.90715027,2450,99.98911285,2450,90.31009674,
2449,57.03730774,2449,100.1409988,2449,99.99149323,2449,90.68260193,
2448,57.07467651,2448,100.0472183,2448,100.1084595,2448,90.39239502,
2447,57.07960892,2447,100.0761032,2447,99.87728119,2447,90.33480072,
2446,57.10278702,2446,99.76974487,2446,99.87837982,2446,90.32872009,
2445,56.94600296,2445,100.1424332,2445,100.0210724,2445,90.54019928,
2444,57.06952286,2444,99.5865097,2444,99.91830444,2444,90.18372345,
2443,57.00200653,2443,99.73118591,2443,99.88658142,2443,90.41539764,
2442,56.89834213,2442,99.94764709,2442,99.88480377,2442,90.45882416,
2441,56.76567078,2441,100.0293274,2441,100.0023727,2441,90.40100861,
2440,56.84608078,2440,99.86232758,2440,99.99876404,2440,90.3015976,
2439,56.75102615,2439,99.90489197,2439,100.0128479,2439,90.40835571,
2438,56.76987076,2438,99.80764771,2438,99.88319397,2438,90.35705566,
2437,56.73276138,2437,99.82897949,2437,100.0334625,2437,90.44501495,
2436,56.70764923,2436,99.90379333,2436,99.93546295,2436,90.48614502,
2435,56.63352203,2435,100.0336304,2435,99.95755768,2435,90.54640198,
2434,56.67483902,2434,99.93856812,2434,99.82874298,2434,90.40869904,
2433,56.63755035,2433,99.9143219,2433,99.89241028,2433,90.33696747,
2432,56.55699539,2432,100.1790543,2432,100.035408,2432,90.5223465,
2431,56.56238937,2431,99.92929077,2431,100.0758209,2431,90.51509857,
2430,56.56539154,2430,99.88754272,2430,99.98195648,2430,90.46845245,
2429,56.5721817,2429,99.8044281,2429,99.83345032,2429,90.41284943,
2428,56.59144592,2428,99.82022095,2428,99.89073944,2428,90.42284393,
2427,56.51453018,2427,99.7928772,2427,99.90794373,2427,90.46594238,
2426,56.45249939,2426,99.87838745,2426,100.0745926,2426,90.60618591,
2425,56.40399933,2425,99.9002533,2425,100.0883102,2425,90.48605347,
2424,56.31619263,2424,100.0069733,2424,100.1559982,2424,90.66183472,
2423,56.38229752,2423,99.91382599,2423,99.89105988,2423,90.38433838,
2422,56.28108978,2422,99.95570374,2422,99.97491455,2422,90.59414673,
2421,56.28302002,2421,99.98771667,2421,100.1301422,2421,90.61489105,
2420,56.25255585,2420,99.99625397,2420,99.95585632,2420,90.42599487,
2419,56.26175308,2419,99.90463257,2419,100.0132217,2419,90.58500671,
2418,56.22560883,2418,100.0340576,2418,99.98860168,2418,90.54826355,
2417,56.25719452,2417,99.93399048,2417,99.89833069,2417,90.42882538,
2416,56.14812469,2416,99.99199677,2416,100.1912384,2416,90.58712006,
2415,56.13455963,2415,99.96282196,2415,100.1074677,2415,90.626297,
2414,56.07320023,2414,100.1380463,2414,100.0760193,2414,90.59887695,
2413,56.10720444,2413,99.92023468,2413,99.91301727,2413,90.70651245,
2412,56.00912476,2412,100.0648956,2412,100.1306152,2412,90.64919281,
2411,56.07570267,2411,99.85193634,2411,99.90879059,2411,90.55407715,
2410,56.00930023,2410,99.92366791,2410,100.061264,2410,90.5238266,
2409,55.98788452,2409,99.95446777,2409,100.0051651,2409,90.55554962,
2408,55.89093018,2408,100.1762238,2408,100.085701,2408,90.66278839,
2407,55.97842789,2407,99.8008728,2407,99.89861298,2407,90.49312592,
2406,55.89252853,2406,99.8599472,2406,99.93605804,2406,90.64144897,
2405,55.87051392,2405,99.97006989,2405,99.96772003,2405,90.55163574,
2404,55.85085678,2404,99.97894287,2404,99.93388367,2404,90.64665222,
2403,55.83222961,2403,99.91146851,2403,100.0563049,2403,90.5973053,
2402,55.80104446,2402,99.87076569,2402,99.91669464,2402,90.66052246,
2401,55.76960373,2401,99.98558044,2401,99.92523193,2401,90.58515167,
2400,55.81161499,2400,99.87447357,2400,100.015892,2400,90.61018372,
2399,55.73355103,2399,100.0719681,2399,100.0875092,2399,90.68701935,
2398,55.79806137,2398,99.87143707,2398,99.99687195,2398,90.54644775,
2397,55.74980927,2397,99.929245,2397,100.0111847,2397,90.63883972,
2396,55.71998978,2396,100.0087738,2396,100.0912781,2396,90.62367249,
2395,55.71511841,2395,99.93624115,2395,100.0637512,2395,90.68103027,
2394,55.69034195,2394,99.96707916,2394,99.96276855,2394,90.59495544,
2393,55.70363235,2393,99.95285034,2393,99.92733765,2393,90.56713867,
2392,55.706604,2392,99.87366486,2392,99.91094208,2392,90.55645752,
2391,55.64044571,2391,100.0706787,2391,100.053978,2391,90.59694672,
2390,55.66235352,2390,99.91693115,2390,99.95050049,2390,90.57689667,
2389,55.56365967,2389,100.1407852,2389,100.1152191,2389,90.73735809,
2388,55.59580231,2388,99.95948792,2388,99.9960022,2388,90.65084839,
2387,55.62722015,2387,99.90299988,2387,99.95505524,2387,90.53381348,
2386,55.59420013,2386,99.94783783,2386,100.0060349,2386,90.61920166,
2385,55.6367569,2385,99.83886719,2385,99.88923645,2385,90.52474213,
2384,55.58150482,2384,99.95581055,2384,99.97042084,2384,90.67494965,
2383,55.52964783,2383,100.0495682,2383,100.0250015,2383,90.68572998,
2382,55.51137924,2382,99.99088287,2382,100.1912842,2382,90.68506622,
2381,55.53918457,2381,99.94046783,2381,99.98017883,2381,90.69791412,
2380,55.50277328,2380,100.0558395,2380,100.0522614,2380,90.73445129,
2379,55.54127502,2379,99.88672638,2379,99.95701599,2379,90.69765472,
2378,55.55049896,2378,99.831604,2378,99.90428925,2378,90.60209656,
2377,55.54889297,2377,99.82295227,2377,99.94407654,2377,90.5969162,
2376,55.53357697,2376,99.84915924,2376,99.96752167,2376,90.64401245,
2375,55.48970032,2375,99.89319611,2375,99.88237,2375,90.61125183,
2374,55.48750687,2374,99.98870087,2374,99.94283295,2374,90.62073517,
2373,55.47130203,2373,99.84300995,2373,99.90584564,2373,90.64757538,
2372,55.48445511,2372,99.90900421,2372,99.92276764,2372,90.6521759,
2371,55.44256592,2371,99.87303925,2371,99.98420715,2371,90.68047333,
2370,55.49043274,2370,99.7635498,2370,99.88895416,2370,90.51731873,
2369,55.39898682,2369,100.0135422,2369,100.0630341,2369,90.66910553,
2368,55.40642166,2368,99.92996216,2368,99.96604919,2368,90.62686157,
2367,55.37874222,2367,100.0097275,2367,100.0181198,2367,90.65512848,
2366,55.37733459,2366,99.91571045,2366,100.0219803,2366,90.70240021,
2365,55.37026978,2365,99.94657898,2365,99.9838028,2365,90.59571075,
2364,55.36711121,2364,99.95449829,2364,99.98381805,2364,90.72637939,
2363,55.32629013,2363,99.96794891,2363,100.0176315,2363,90.71153259,
2362,55.34286499,2362,99.9258728,2362,100.0116501,2362,90.54614258,
2361,55.29172516,2361,99.97693634,2361,99.98323059,2361,90.63439178,
2360,55.31577301,2360,99.86894226,2360,99.85165405,2360,90.59298706,
2359,55.26295471,2359,99.98534393,2359,99.99951935,2359,90.65338898,
2358,55.2571907,2358,99.86568451,2358,99.95309448,2358,90.58646393,
2357,55.19321442,2357,100.0393143,2357,100.0460968,2357,90.66666412,
2356,55.23524475,2356,99.79220581,2356,99.91704559,2356,90.48718262,
2355,55.13256836,2355,99.92727661,2355,99.93736267,2355,90.62216949,
2354,55.14840317,2354,99.82885742,2354,99.90897369,2354,90.58674622,
2353,55.08496094,2353,99.99739075,2353,99.95579529,2353,90.73280334,
2352,55.03702164,2352,99.93190002,2352,100.0684128,2352,90.69338226,
2351,54.99493408,2351,99.93836212,2351,100.0382156,2351,90.67337036,
2350,54.94577408,2350,100.0276413,2350,99.98929596,2350,90.6890564,
2349,54.88967896,2349,99.97655487,2349,100.0449982,2349,90.6973877,
2348,54.82617188,2348,100.080658,2348,100.0895996,2348,90.71659088,
2347,54.83010864,2347,99.93461609,2347,99.90410614,2347,90.65381622,
2346,54.80615616,2346,99.97681427,2346,99.99186707,2346,90.61539459,
2345,54.7545929,2345,99.95658875,2345,99.99252319,2345,90.52801514,
2344,54.71522141,2344,99.83905792,2344,99.99350739,2344,90.62515259,
2343,54.61218262,2343,99.99568939,2343,100.0518951,2343,90.741745,
2342,54.58003235,2342,99.96679688,2342,100.0209579,2342,90.62705994,
2341,54.51426697,2341,100.0074234,2341,99.99761963,2341,90.71856689,
2340,54.51018906,2340,99.98983002,2340,99.99121094,2340,90.659935,
2339,54.44110107,2339,99.966362,2339,99.95456696,2339,90.65390778,
2338,54.37700272,2338,99.99964905,2338,99.94705963,2338,90.74634552,
2337,54.2973938,2337,100.0227661,2337,100.0333099,2337,90.75989532,
2336,54.30144501,2336,99.91280365,2336,100.0106583,2336,90.75689697,
2335,54.22083282,2335,100.019165,2335,100.0167694,2335,90.65802765,
2334,54.20827103,2334,99.93986511,2334,99.97224426,2334,90.59835815,
2333,54.16439056,2333,100.0255432,2333,100.0260849,2333,90.65203094,
2332,54.14211273,2332,99.90802765,2332,100.0359039,2332,90.66651917,
2331,54.1011734,2331,99.83255768,2331,100.0020523,2331,90.63496399,
2330,54.11766052,2330,99.88934326,2330,99.91490936,2330,90.50986481,
2329,54.01010513,2329,99.99658966,2329,99.98544312,2329,90.57355499,
2328,53.96718979,2328,100.0762482,2328,100.0746155,2328,90.68321991,
2327,53.94750214,2327,99.96865082,2327,100.0056534,2327,90.6054306,
2326,53.9618988,2326,99.86222076,2326,100.0054703,2326,90.67953491,
2325,53.90189362,2325,99.89955902,2325,100.0024109,2325,90.65694427,
2324,53.9025383,2324,99.91915894,2324,99.88311005,2324,90.61853027,
2323,53.89514542,2323,99.94716644,2323,99.97639465,2323,90.58407593,
2322,53.81572723,2322,100.0628586,2322,100.1279602,2322,90.63610077,
2321,53.81771469,2321,99.95064545,2321,99.97160339,2321,90.60442352,
2320,53.83531952,2320,99.87277222,2320,99.86740112,2320,90.5683136,
2319,53.80652618,2319,99.96946716,2319,100.0028152,2319,90.59128571,
2318,53.76563263,2318,99.90755463,2318,99.99571228,2318,90.64674377,
2317,53.78887177,2317,99.87486267,2317,99.88941193,2317,90.57253265,
2316,53.7577095,2316,99.8897934,2316,99.93126678,2316,90.52433777,
2315,53.68379211,2315,99.94927216,2315,100.0011826,2315,90.68707275,
2314,53.69742584,2314,99.91990662,2314,99.98419189,2314,90.5532074,
2313,53.71168137,2313,99.85956573,2313,99.99681854,2313,90.5464325,
2312,53.68090439,2312,99.95210266,2312,99.9052124,2312,90.58534241,
2311,53.62537384,2311,100.0013351,2311,99.9948349,2311,90.65740967,
2310,53.60165405,2310,100.0162811,2310,100.0829239,2310,90.66915894,
2309,53.55996323,2309,100.0715256,2309,100.0567169,2309,90.66946411,
2308,53.62052155,2308,99.88720703,2308,99.87751007,2308,90.61990356,
2307,53.5837059,2307,99.91856384,2307,99.97383881,2307,90.62853241,
2306,53.53759003,2306,100.0084534,2306,100.014267,2306,90.70335388,
2305,53.59613419,2305,99.79355621,2305,99.84851837,2305,90.49059296,
2304,53.5498848,2304,99.90772247,2304,100.0193253,2304,90.56446075,
2303,53.50323486,2303,100.0268784,2303,100.0062943,2303,90.64743805,
2302,53.50099945,2302,99.95865631,2302,99.92862701,2302,90.64041901,
2301,53.48437881,2301,99.90167236,2301,100.0644226,2301,90.63537598,
2300,53.52193832,2300,99.93677521,2300,99.93872833,2300,90.44757843,
2299,53.48561478,2299,100.0081787,2299,99.93947601,2299,90.60719299,
2298,53.47587585,2298,100.0323868,2298,100.02211,2298,90.65364838,
2297,53.52588272,2297,99.86161804,2297,99.87987518,2297,90.53433228,
2296,53.48746109,2296,99.99551392,2296,100.0128784,2296,90.58433533,
2295,53.52417374,2295,99.97053528,2295,99.9912796,2295,90.49739838,
2294,53.56533432,2294,99.96949005,2294,99.85329437,2294,90.47833252,
2293,53.54844284,2293,99.99185181,2293,99.95681,2293,90.56181335,
2292,53.57211304,2292,99.77056885,2292,99.85092163,2292,90.53777313,
2291,53.53329086,2291,100.0927811,2291,100.0771484,2291,90.63928986,
2290,53.56929398,2290,100.0473938,2290,99.99840546,2290,90.63468933,
2289,53.5681839,2289,99.98414612,2289,99.94186401,2289,90.56613159,
2288,53.54786682,2288,100.1334763,2288,100.1250381,2288,90.6897049,
2287,53.63533401,2287,99.95230103,2287,99.9362793,2287,90.45448303,
2286,53.63254547,2286,99.90893555,2286,100.0478287,2286,90.53899384,
2285,53.74047852,2285,99.87867737,2285,99.79821777,2285,90.38447571,
2284,53.71695328,2284,99.86721039,2284,99.96529388,2284,90.29716492,
2283,53.72027588,2283,99.9680481,2283,100.0748291,2283,90.74362183,
2282,53.80244827,2282,99.82881165,2282,99.9404068,2282,90.54077148,
2281,53.84407043,2281,99.98132324,2281,99.86086273,2281,90.50165558,
2280,53.8608551,2280,100.023056,2280,100.008667,2280,90.77417755,
2279,53.94099426,2279,99.92415619,2279,99.90118408,2279,90.62017822,
2278,53.96363068,2278,99.96665192,2278,99.99927521,2278,90.62361145,
2277,54.10823059,2277,99.94929504,2277,99.83878326,2277,90.44189453,
2276,54.13496399,2276,99.93937683,2276,100.0264969,2276,90.5848465,
2275,54.25012207,2275,99.87202454,2275,99.89988708,2275,90.39155579,
2274,54.25595093,2274,100.0907745,2274,100.1259689,2274,90.48121643,
2273,54.35055923,2273,100.0961304,2273,100.169838,2273,90.57912445,
2272,54.49868393,2272,99.86870575,2272,99.95568085,2272,90.46882629,
2271,54.62483215,2271,99.77197266,2271,99.94351196,2271,90.34242249,
2270,54.67298508,2270,100.1391296,2270,100.022316,2270,90.49715424,
2269,54.78506088,2269,99.98701477,2269,99.98396301,2269,90.58179474,
2268,54.90954971,2268,100.0429611,2268,99.84358978,2268,90.45730591,
2267,55.05481339,2267,99.87445068,2267,99.84278107,2267,90.4697113,
2266,55.13428879,2266,99.99952698,2266,99.9810791,2266,90.39199066,
2265,55.31258392,2265,99.90608978,2265,99.92824554,2265,90.36062622,
2264,55.28746414,2264,100.0637436,2264,100.0930176,2264,90.65893555,
2263,55.46332169,2263,100.0110474,2263,100.1067886,2263,90.60310364,
2262,55.67542267,2262,99.8937912,2262,99.77018738,2262,90.37314606,
2261,55.84444427,2261,99.90303802,2261,99.76626587,2261,90.28442383,
2260,55.87641144,2260,100.0196915,2260,99.96794128,2260,90.43727112,
2259,56.02282333,2259,99.9440155,2259,99.97914124,2259,90.37490845,
2258,56.14142609,2258,99.75911713,2258,99.91777802,2258,90.43188477,
2257,56.20142365,2257,99.97612762,2257,100.009964,2257,90.58348846,
2256,56.38647079,2256,99.88607788,2256,99.8743515,2256,90.45249176,
2255,56.49964905,2255,100.0533218,2255,100.0087738,2255,90.47441864,
2254,56.62479401,2254,99.95748138,2254,99.96802521,2254,90.34534454,
2253,56.69189072,2253,99.99887085,2253,100.085701,2253,90.59329987,
2252,56.83955002,2252,99.95552063,2252,100.0777359,2252,90.39672089,
2251,56.97551346,2251,99.94223022,2251,99.87882233,2251,90.43907928,
2250,57.05955505,2250,99.9651413,2250,99.97164154,2250,90.40504456,
2249,57.15854645,2249,99.99861145,2249,100.149025,2249,90.55761719,
2248,57.30639648,2248,100.025795,2248,100.0347366,2248,90.35932159,
2247,57.40764618,2247,100.0063782,2247,99.99771881,2247,90.46065521,
2246,57.4923439,2246,99.91645813,2246,100.1203079,2246,90.44477844,
2245,57.63847351,2245,99.86011505,2245,99.98638916,2245,90.42041016,
2244,57.75520706,2244,99.94609833,2244,99.98414612,2244,90.3797226,
2243,57.84085846,2243,99.95929718,2243,99.91705322,2243,90.30164337,
2242,57.94353485,2242,99.97388458,2242,99.95870972,2242,90.35256195,
2241,57.99279022,2241,100.1207809,2241,100.0578384,2241,90.43148041,
2240,58.13420486,2240,99.83262634,2240,99.94615936,2240,90.47610474,
2239,58.18714523,2239,100.1196594,2239,100.0819473,2239,90.41603851,
