Wavelength(nm),Transmission(%)
2500.0,90.09825897
2499.0,90.05378723
2498.0,90.21246338
2497.0,89.84558868
2496.0,90.17008972
2495.0,90.37787628
2494.0,90.11299133
2493.0,90.17594147
2492.0,90.2594986
2491.0,90.140625
2490.0,90.41059875
2489.0,90.06422424
2488.0,90.16880798
2487.0,90.09433746
2486.0,89.82830811
2485.0,90.28030396
2484.0,90.14272308
2483.0,90.33966827
2482.0,90.32186127
2481.0,90.21880341
2480.0,90.34647369
2479.0,89.97245026
2478.0,90.35371399
2477.0,90.26302338
2476.0,90.39570618
2475.0,90.54917908
2474.0,90.22229767
2473.0,90.24708557
2472.0,90.08509064
2471.0,90.23564148
2470.0,90.19890594
2469.0,90.26898956
2468.0,90.34172058
2467.0,90.3710556
2466.0,90.41603851
2465.0,90.25785065
2464.0,90.17675018
2463.0,90.18029785
2462.0,90.48842621
2461.0,90.35108185
2460.0,90.40435028
2459.0,90.28171539
2458.0,90.22728729
2457.0,90.18493652
2456.0,90.37987518
2455.0,90.33325958
2454.0,90.57370758
2453.0,90.35562134
2452.0,90.31941986
2451.0,90.43254852
2450.0,90.31009674
2449.0,90.68260193
2448.0,90.39239502
2447.0,90.33480072
2446.0,90.32872009
2445.0,90.54019928
2444.0,90.18372345
2443.0,90.41539764
2442.0,90.45882416
2441.0,90.40100861
2440.0,90.3015976
2439.0,90.40835571
2438.0,90.35705566
2437.0,90.44501495
2436.0,90.48614502
2435.0,90.54640198
2434.0,90.40869904
2433.0,90.33696747
2432.0,90.5223465
2431.0,90.51509857
2430.0,90.46845245
2429.0,90.41284943
2428.0,90.42284393
2427.0,90.46594238
2426.0,90.60618591
2425.0,90.48605347
2424.0,90.66183472
2423.0,90.38433838
2422.0,90.59414673
2421.0,90.61489105
2420.0,90.42599487
2419.0,90.58500671
2418.0,90.54826355
2417.0,90.42882538
2416.0,90.58712006
2415.0,90.626297
2414.0,90.59887695
2413.0,90.70651245
2412.0,90.64919281
2411.0,90.55407715
2410.0,90.5238266
2409.0,90.55554962
2408.0,90.66278839
2407.0,90.49312592
2406.0,90.64144897
2405.0,90.55163574
2404.0,90.64665222
2403.0,90.5973053
2402.0,90.66052246
2401.0,90.58515167
2400.0,90.61018372
2399.0,90.68701935
2398.0,90.54644775
2397.0,90.63883972
2396.0,90.62367249
2395.0,90.68103027
2394.0,90.59495544
2393.0,90.56713867
2392.0,90.55645752
2391.0,90.59694672
2390.0,90.57689667
2389.0,90.73735809
2388.0,90.65084839
2387.0,90.53381348
2386.0,90.61920166
2385.0,90.52474213
2384.0,90.67494965
2383.0,90.68572998
2382.0,90.68506622
2381.0,90.69791412
2380.0,90.73445129
2379.0,90.69765472
2378.0,90.60209656
2377.0,90.5969162
2376.0,90.64401245
2375.0,90.61125183
2374.0,90.62073517
2373.0,90.64757538
2372.0,90.6521759
2371.0,90.68047333
2370.0,90.51731873
2369.0,90.66910553
2368.0,90.62686157
2367.0,90.65512848
2366.0,90.70240021
2365.0,90.59571075
2364.0,90.72637939
2363.0,90.71153259
2362.0,90.54614258
2361.0,90.63439178
2360.0,90.59298706
2359.0,90.65338898
2358.0,90.58646393
2357.0,90.66666412
2356.0,90.48718262
2355.0,90.62216949
2354.0,90.58674622
2353.0,90.73280334
2352.0,90.69338226
2351.0,90.67337036
2350.0,90.6890564
2349.0,90.6973877
2348.0,90.71659088
2347.0,90.65381622
2346.0,90.61539459
2345.0,90.52801514
2344.0,90.62515259
2343.0,90.741745
2342.0,90.62705994
2341.0,90.71856689
2340.0,90.659935
2339.0,90.65390778
2338.0,90.74634552
2337.0,90.75989532
2336.0,90.75689697
2335.0,90.65802765
2334.0,90.59835815
2333.0,90.65203094
2332.0,90.66651917
2331.0,90.63496399
2330.0,90.50986481
2329.0,90.57355499
2328.0,90.68321991
2327.0,90.6054306
2326.0,90.67953491
2325.0,90.65694427
2324.0,90.61853027
2323.0,90.58407593
2322.0,90.63610077
2321.0,90.60442352
2320.0,90.5683136
2319.0,90.59128571
2318.0,90.64674377
2317.0,90.57253265
2316.0,90.52433777
2315.0,90.68707275
