"Open_Time","Open","High","Low","Close","Volume","Close_Time","Quote","Trades","Takers_Buy_Base","Takers_Buy_Quote","Ignore","Open_Timestamp","Close_Timestamp"
"1547625600000.0","0.5355","0.5355","0.498","0.498","216595.03","1547639999999.0","109619.738721","447.0","97949.45","49548.620576","0.0","2019-01-16 08:00:00","2019-01-16 11:59:59.999000064"
"1547640000000.0","0.498","0.5021","0.4668","0.479","504161.65","1547654399999.0","245583.524037","1124.0","223523.58","109800.686376","0.0","2019-01-16 12:00:00","2019-01-16 15:59:59.999000064"
"1547654400000.0","0.4782","0.52","0.4677","0.5041","336755.42","1547668799999.0","166394.013776","1017.0","142956.29","71275.535384","0.0","2019-01-16 16:00:00","2019-01-16 19:59:59.999000064"
"1547668800000.0","0.5031","0.52","0.4851","0.4895","286148.21","1547683199999.0","143416.367915","904.0","137990.6","69491.544676","0.0","2019-01-16 20:00:00","2019-01-16 23:59:59.999000064"
"1547683200000.0","0.4895","0.4895","0.4639","0.4677","389322.23","1547697599999.0","185963.780254","985.0","117835.67","56325.672187","0.0","2019-01-17 00:00:00","2019-01-17 03:59:59.999000064"
"1547697600000.0","0.4685","0.4877","0.4653","0.4724","171952.51","1547711999999.0","81342.319134","492.0","83317.93","39344.949915","0.0","2019-01-17 04:00:00","2019-01-17 07:59:59.999000064"
"1547712000000.0","0.4738","0.4862","0.4703","0.4726","81761.17","1547726399999.0","38833.689061","359.0","30686.52","14596.361254","0.0","2019-01-17 08:00:00","2019-01-17 11:59:59.999000064"
"1547726400000.0","0.4734","0.4953","0.4703","0.4874","133355.89","1547740799999.0","64902.844401","500.0","73695.26","35778.368994","0.0","2019-01-17 12:00:00","2019-01-17 15:59:59.999000064"
"1547740800000.0","0.4874","0.4915","0.4706","0.4735","381470.19","1547755199999.0","181720.372283","808.0","265841.17","126411.619954","0.0","2019-01-17 16:00:00","2019-01-17 19:59:59.999000064"
"1547755200000.0","0.4735","0.4837","0.4708","0.4756","253863.36","1547769599999.0","120684.203464","843.0","207009.81","98418.113149","0.0","2019-01-17 20:00:00","2019-01-17 23:59:59.999000064"
"1547769600000.0","0.4762","0.4762","0.4678","0.4707","52382.25","1547783999999.0","24751.673739","536.0","14024.54","6627.520431","0.0","2019-01-18 00:00:00","2019-01-18 03:59:59.999000064"
"1547784000000.0","0.4686","0.4729","0.4601","0.4719","162773.23","1547798399999.0","75858.967444","955.0","65739.28","30607.429713","0.0","2019-01-18 04:00:00","2019-01-18 07:59:59.999000064"
"1547798400000.0","0.4719","0.48","0.4634","0.4688","127142.47","1547812799999.0","60579.606924","875.0","32182.7","15249.213805","0.0","2019-01-18 08:00:00","2019-01-18 11:59:59.999000064"
"1547812800000.0","0.4686","0.475","0.4635","0.471","60676.69","1547827199999.0","28453.309641","690.0","28644.9","13471.952143","0.0","2019-01-18 12:00:00","2019-01-18 15:59:59.999000064"
"1547827200000.0","0.4718","0.4749","0.4653","0.472","79303.4","1547841599999.0","37324.670504","505.0","70285.71","33085.720017","0.0","2019-01-18 16:00:00","2019-01-18 19:59:59.999000064"
"1547841600000.0","0.472","0.5112","0.472","0.4894","502139.55","1547855999999.0","248031.05799","2101.0","252190.01","124434.210383","0.0","2019-01-18 20:00:00","2019-01-18 23:59:59.999000064"
"1547856000000.0","0.4908","0.4981","0.4786","0.4797","117128.16","1547870399999.0","57095.672449","900.0","67985.32","33196.035642","0.0","2019-01-19 00:00:00","2019-01-19 03:59:59.999000064"
"1547870400000.0","0.4804","0.4937","0.4684","0.4758","160246.03","1547884799999.0","76535.973061","986.0","50595.12","24276.059428","0.0","2019-01-19 04:00:00","2019-01-19 07:59:59.999000064"
"1547884800000.0","0.4747","0.5","0.4673","0.4813","225021.09","1547899199999.0","107968.421216","1261.0","104065.82","50065.808725","0.0","2019-01-19 08:00:00","2019-01-19 11:59:59.999000064"
"1547899200000.0","0.4829","0.49","0.48","0.4819","127587.0","1547913599999.0","61702.81541","776.0","58974.06","28528.284564","0.0","2019-01-19 12:00:00","2019-01-19 15:59:59.999000064"
"1547913600000.0","0.4836","0.4852","0.476","0.4809","56494.02","1547927999999.0","27159.001926","370.0","26543.69","12779.093504","0.0","2019-01-19 16:00:00","2019-01-19 19:59:59.999000064"
"1547928000000.0","0.4821","0.4851","0.4773","0.4831","48966.9","1547942399999.0","23628.156984","189.0","27415.51","13263.168454","0.0","2019-01-19 20:00:00","2019-01-19 23:59:59.999000064"
"1547942400000.0","0.4803","0.4851","0.4785","0.4821","33379.55","1547956799999.0","16070.121336","194.0","8989.14","4347.814266","0.0","2019-01-20 00:00:00","2019-01-20 03:59:59.999000064"
"1547956800000.0","0.4847","0.4853","0.479","0.483","19353.64","1547971199999.0","9353.776619","79.0","10514.04","5095.193509","0.0","2019-01-20 04:00:00","2019-01-20 07:59:59.999000064"
"1547971200000.0","0.4831","0.4909","0.4712","0.4712","152946.35","1547985599999.0","73568.6685","350.0","66920.38","32226.065856","0.0","2019-01-20 08:00:00","2019-01-20 11:59:59.999000064"
"1547985600000.0","0.4773","0.4899","0.459","0.4871","221734.24","1547999999999.0","103769.148081","624.0","101938.81","47721.318104","0.0","2019-01-20 12:00:00","2019-01-20 15:59:59.999000064"
"1548000000000.0","0.4899","0.492","0.472","0.48","184375.85","1548014399999.0","88799.401054","625.0","85882.02","41384.922662","0.0","2019-01-20 16:00:00","2019-01-20 19:59:59.999000064"
"1548014400000.0","0.4794","0.4874","0.4738","0.4834","65709.93","1548028799999.0","31772.438248","226.0","41282.97","19986.915585","0.0","2019-01-20 20:00:00","2019-01-20 23:59:59.999000064"
"1548028800000.0","0.4839","0.4933","0.474","0.4781","88670.54","1548043199999.0","43113.191687","294.0","47250.71","23024.125226","0.0","2019-01-21 00:00:00","2019-01-21 03:59:59.999000064"
"1548043200000.0","0.4781","0.4819","0.465","0.4797","82082.58","1548057599999.0","38597.177306","345.0","22181.11","10467.245778","0.0","2019-01-21 04:00:00","2019-01-21 07:59:59.999000064"
"1548057600000.0","0.482","0.489","0.4781","0.488","53089.99","1548071999999.0","25588.850323","263.0","22151.47","10699.057812","0.0","2019-01-21 08:00:00","2019-01-21 11:59:59.999000064"
"1548072000000.0","0.4877","0.4877","0.473","0.4826","50056.02","1548086399999.0","24117.841393","211.0","16504.87","7972.232246","0.0","2019-01-21 12:00:00","2019-01-21 15:59:59.999000064"
