"Open_Time","Open","High","Low","Close","Volume","Close_Time","Quote","Trades","Takers_Buy_Base","Takers_Buy_Quote","Ignore","Open_Timestamp","Close_Timestamp"
"1597996800000.0","0.5397","0.5397","0.401","0.45","1109973.0","1598011199999.0","523580.596866","1767.0","354813.83","165951.196593","0.0","2020-08-21 08:00:00","2020-08-21 11:59:59.999000064"
"1598011200000.0","0.4494","0.4544","0.4258","0.454","806893.16","1598025599999.0","357103.331348","1661.0","331229.33","147220.835988","0.0","2020-08-21 12:00:00","2020-08-21 15:59:59.999000064"
"1598025600000.0","0.452","0.46","0.4445","0.4467","526230.29","1598039999999.0","237271.825373","819.0","168667.11","76049.196872","0.0","2020-08-21 16:00:00","2020-08-21 19:59:59.999000064"
"1598040000000.0","0.4472","0.4473","0.4285","0.4314","441056.83","1598054399999.0","192958.31564","714.0","170701.78","74566.424466","0.0","2020-08-21 20:00:00","2020-08-21 23:59:59.999000064"
"1598054400000.0","0.4317","0.4326","0.412","0.421","575331.13","1598068799999.0","241902.321591","660.0","160971.27","67862.474195","0.0","2020-08-22 00:00:00","2020-08-22 03:59:59.999000064"
"1598068800000.0","0.4207","0.4222","0.4185","0.4222","537598.07","1598083199999.0","226022.986515","649.0","274234.37","115365.245108","0.0","2020-08-22 04:00:00","2020-08-22 07:59:59.999000064"
"1598083200000.0","0.4231","0.4313","0.4222","0.43","560266.5","1598097599999.0","238854.754277","685.0","271935.68","115916.291578","0.0","2020-08-22 08:00:00","2020-08-22 11:59:59.999000064"
"1598097600000.0","0.43","0.4987","0.4299","0.4939","1446763.62","1598111999999.0","669678.740397","2219.0","885919.64","408719.796238","0.0","2020-08-22 12:00:00","2020-08-22 15:59:59.999000064"
"1598112000000.0","0.4939","0.4939","0.459","0.4676","796014.44","1598126399999.0","375565.563129","1433.0","385300.9","181293.036379","0.0","2020-08-22 16:00:00","2020-08-22 19:59:59.999000064"
"1598126400000.0","0.4676","0.4716","0.4649","0.4712","282304.68","1598140799999.0","132486.409867","514.0","185996.11","87303.247599","0.0","2020-08-22 20:00:00","2020-08-22 23:59:59.999000064"
"1598140800000.0","0.469","0.4716","0.4523","0.4547","658435.07","1598155199999.0","303850.76462","710.0","329285.73","152073.848089","0.0","2020-08-23 00:00:00","2020-08-23 03:59:59.999000064"
"1598155200000.0","0.4548","0.494","0.4531","0.48","9107447.35","1598169599999.0","4319214.047339","4048.0","4821337.26","2326812.987712","0.0","2020-08-23 04:00:00","2020-08-23 07:59:59.999000064"
"1598169600000.0","0.48","0.483","0.4635","0.4635","347442.25","1598183999999.0","163624.096271","671.0","186710.95","87989.745461","0.0","2020-08-23 08:00:00","2020-08-23 11:59:59.999000064"
"1598184000000.0","0.4637","0.4797","0.462","0.4678","126094.5","1598198399999.0","58671.477832","285.0","43119.35","20074.454507","0.0","2020-08-23 12:00:00","2020-08-23 15:59:59.999000064"
