Transmission monitoring at 550.0000 nm and 0.00 degrees for unpolarized light
layer  thickness (nm)               T
    0        0.000000        0.918671
    0        1.000000        0.918512
    0        2.000000        0.918033
    0        3.000000        0.917238
    0        4.000000        0.916131
    0        5.000000        0.914715
    0        6.000000        0.912998
    0        7.000000        0.910986
    0        8.000000        0.908690
    0        9.000000        0.906118
    0       10.000000        0.903282
    0       11.000000        0.900194
    0       12.000000        0.896866
    0       13.000000        0.893313
    0       14.000000        0.889547
    0       15.000000        0.885585
    0       16.000000        0.881441
    0       17.000000        0.877132
    0       18.000000        0.872672
    0       19.000000        0.868078
    0       20.000000        0.863365
    0       21.000000        0.858550
    0       22.000000        0.853649
    0       23.000000        0.848678
    0       24.000000        0.843650
    0       25.000000        0.838583
    0       26.000000        0.833490
    0       27.000000        0.828386
    0       28.000000        0.823284
    0       29.000000        0.818198
    0       30.000000        0.813141
    0       31.000000        0.808124
    0       32.000000        0.803160
    0       33.000000        0.798260
    0       34.000000        0.793434
    0       35.000000        0.788693
    0       36.000000        0.784045
    0       37.000000        0.779500
    0       38.000000        0.775065
    0       39.000000        0.770750
    0       40.000000        0.766560
    0       41.000000        0.762503
    0       42.000000        0.758586
    0       43.000000        0.754813
    0       44.000000        0.751190
    0       45.000000        0.747723
    0       46.000000        0.744415
    0       47.000000        0.741272
    0       48.000000        0.738296
    0       49.000000        0.735492
    0       50.000000        0.732862
    0       51.000000        0.730410
    0       52.000000        0.728137
    0       53.000000        0.726047
    0       54.000000        0.724141
    0       55.000000        0.722421
    0       56.000000        0.720889
    0       57.000000        0.719546
    0       58.000000        0.718393
    0       59.000000        0.717432
    0       60.000000        0.716663
    0       61.000000        0.716086
    0       62.000000        0.715703
    0       63.000000        0.715514
    0       64.000000        0.715518
    0       65.000000        0.715716
    0       66.000000        0.716108
    0       67.000000        0.716693
    0       68.000000        0.717470
    0       69.000000        0.718440
    0       70.000000        0.719601
    0       71.000000        0.720953
    0       72.000000        0.722493
    0       73.000000        0.724221
    0       74.000000        0.726136
    0       75.000000        0.728234
    0       76.000000        0.730515
    0       77.000000        0.732975
    0       78.000000        0.735613
    0       79.000000        0.738425
    0       80.000000        0.741408
    0       81.000000        0.744558
    0       82.000000        0.747873
    0       83.000000        0.751347
    0       84.000000        0.754977
    0       85.000000        0.758756
    0       86.000000        0.762680
    0       87.000000        0.766743
    0       88.000000        0.770938
    0       89.000000        0.775259
    0       90.000000        0.779699
    0       91.000000        0.784249
    0       92.000000        0.788901
    0       93.000000        0.793646
    0       94.000000        0.798476
    0       95.000000        0.803379
    0       95.168294        0.804211
    1       95.168294        0.804211
    1       96.168294        0.805858
    1       97.168294        0.807574
    1       98.168294        0.809356
    1       99.168294        0.811203
    1      100.168294        0.813114
    1      101.168294        0.815087
    1      102.168294        0.817122
    1      103.168294        0.819216
    1      104.168294        0.821368
    1      105.168294        0.823576
    1      106.168294        0.825839
    1      107.168294        0.828155
    1      108.168294        0.830522
    1      109.168294        0.832937
    1      110.168294        0.835400
    1      111.168294        0.837907
    1      112.168294        0.840456
    1      113.168294        0.843046
    1      114.168294        0.845673
    1      115.168294        0.848335
    1      116.168294        0.851030
    1      117.168294        0.853755
    1      118.168294        0.856507
    1      119.168294        0.859283
    1      120.168294        0.862081
    1      121.168294        0.864897
    1      122.168294        0.867729
    1      123.168294        0.870573
    1      124.168294        0.873425
    1      125.168294        0.876284
    1      126.168294        0.879144
    1      127.168294        0.882003
    1      128.168294        0.884857
